농장,화방번호,날짜,개화수,착과수,수확수,개당무게,총무게,초장,잎길이,잎폭,잎수
명성호,5,14,0.00 ,0.50 ,0.25 ,2.22 ,3.24 ,254.1,27.3,20.1,21.1
명성호,5,15,0.00 ,0.44 ,0.31 ,0.57 ,2.87 ,254.1,24.5,18.8,22.4
명성호,6,1,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,76.6,29.1,20.2,8
명성호,6,2,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,91.9,28.5,20.9,8.6
명성호,6,3,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,102.8,21.9,16.1,11.1
명성호,6,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,115.4,16.8,11.3,11.6
명성호,6,5,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,129.6,14,8.8,14.4
명성호,6,6,1.00 ,0.19 ,0.00 ,0.00 ,0.00 ,154.9,19.1,11.2,16.3
명성호,6,7,3.00 ,3.00 ,0.00 ,0.00 ,0.00 ,179.2,21.8,13.4,15.8
명성호,6,8,1.38 ,6.94 ,0.00 ,0.00 ,0.00 ,196.2,21.9,13.8,14.7
명성호,6,9,0.13 ,8.44 ,0.00 ,0.00 ,0.00 ,213.1,23.9,14.3,17.1
명성호,6,10,0.00 ,8.31 ,0.00 ,0.00 ,0.00 ,230.1,25.7,16,17.6
명성호,6,11,0.13 ,8.44 ,0.38 ,0.80 ,4.78 ,245,25.5,17.5,20.1
명성호,6,12,0.00 ,6.88 ,1.13 ,3.26 ,11.88 ,254.1,26.8,18.9,20.1
명성호,6,13,0.00 ,6.13 ,3.31 ,5.46 ,27.04 ,254.1,26.8,19.9,20.6
명성호,6,14,0.00 ,2.06 ,1.19 ,5.45 ,11.49 ,254.1,27.3,20.1,21.1
명성호,6,15,0.00 ,0.31 ,0.06 ,0.63 ,0.63 ,254.1,24.5,18.8,22.4
명성호,7,1,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,76.6,29.1,20.2,8
명성호,7,2,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,91.9,28.5,20.9,8.6
명성호,7,3,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,102.8,21.9,16.1,11.1
명성호,7,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,115.4,16.8,11.3,11.6
명성호,7,5,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,129.6,14,8.8,14.4
명성호,7,6,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,154.9,19.1,11.2,16.3
명성호,7,7,0.94 ,0.19 ,0.00 ,0.00 ,0.00 ,179.2,21.8,13.4,15.8
명성호,7,8,2.13 ,2.44 ,0.00 ,0.00 ,0.00 ,196.2,21.9,13.8,14.7
명성호,7,9,0.94 ,7.13 ,0.00 ,0.00 ,0.00 ,213.1,23.9,14.3,17.1
명성호,7,10,0.06 ,8.13 ,0.00 ,0.00 ,0.00 ,230.1,25.7,16,17.6
명성호,7,11,0.06 ,8.00 ,0.00 ,0.00 ,0.00 ,245,25.5,17.5,20.1
명성호,7,12,0.19 ,5.88 ,0.00 ,0.00 ,0.00 ,254.1,26.8,18.9,20.1
명성호,7,13,0.00 ,5.38 ,0.88 ,1.06 ,4.49 ,254.1,26.8,19.9,20.6
명성호,7,14,0.00 ,3.94 ,1.75 ,4.10 ,16.99 ,254.1,27.3,20.1,21.1
명성호,7,15,0.00 ,2.19 ,1.06 ,2.45 ,10.98 ,254.1,24.5,18.8,22.4
명성호,8,1,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,76.6,29.1,20.2,8
명성호,8,2,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,91.9,28.5,20.9,8.6
명성호,8,3,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,102.8,21.9,16.1,11.1
명성호,8,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,115.4,16.8,11.3,11.6
명성호,8,5,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,129.6,14,8.8,14.4
명성호,8,6,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,154.9,19.1,11.2,16.3
명성호,8,7,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,179.2,21.8,13.4,15.8
명성호,8,8,0.75 ,0.25 ,0.00 ,0.00 ,0.00 ,196.2,21.9,13.8,14.7
명성호,8,9,1.63 ,2.06 ,0.00 ,0.00 ,0.00 ,213.1,23.9,14.3,17.1
명성호,8,10,1.56 ,6.00 ,0.00 ,0.00 ,0.00 ,230.1,25.7,16,17.6
명성호,8,11,0.44 ,6.63 ,0.00 ,0.00 ,0.00 ,245,25.5,17.5,20.1
명성호,8,12,0.63 ,4.94 ,0.00 ,0.00 ,0.00 ,254.1,26.8,18.9,20.1
명성호,8,13,0.00 ,3.75 ,0.13 ,0.00 ,0.00 ,254.1,26.8,19.9,20.6
명성호,8,14,0.00 ,3.44 ,0.25 ,0.53 ,2.12 ,254.1,27.3,20.1,21.1
명성호,8,15,0.00 ,3.13 ,0.19 ,0.48 ,1.45 ,254.1,24.5,18.8,22.4
명성호,9,1,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,76.6,29.1,20.2,8
명성호,9,2,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,91.9,28.5,20.9,8.6
명성호,9,3,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,102.8,21.9,16.1,11.1
명성호,9,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,115.4,16.8,11.3,11.6
명성호,9,5,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,129.6,14,8.8,14.4
명성호,9,6,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,154.9,19.1,11.2,16.3
명성호,9,7,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,179.2,21.8,13.4,15.8
명성호,9,8,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,196.2,21.9,13.8,14.7
명성호,9,9,0.13 ,0.06 ,0.00 ,0.00 ,0.00 ,213.1,23.9,14.3,17.1
명성호,9,10,1.56 ,1.13 ,0.00 ,0.00 ,0.00 ,230.1,25.7,16,17.6
명성호,9,11,1.75 ,3.06 ,0.00 ,0.00 ,0.00 ,245,25.5,17.5,20.1
명성호,9,12,1.50 ,5.69 ,0.00 ,0.00 ,0.00 ,254.1,26.8,18.9,20.1
명성호,9,13,0.25 ,4.63 ,0.00 ,0.00 ,0.00 ,254.1,26.8,19.9,20.6
